,track_uri,artist_uri,genres
29,3tgWMPOY4stCdKYj5NjrAe,7nqOGRxlXj7N2JYbgNEjYH,k-pop
29,3tgWMPOY4stCdKYj5NjrAe,7nqOGRxlXj7N2JYbgNEjYH,k-pop boy group
30,1zYn7HfgO5B0BR3L34LcVA,2FLqlgckDKdmpBrvLAT5BM,k-pop
31,1Z6NmeYIfN4e8TuEYLFTKL,2dIgFjalVxs4ThymZ67YCE,k-pop
31,1Z6NmeYIfN4e8TuEYLFTKL,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
31,1Z6NmeYIfN4e8TuEYLFTKL,2dIgFjalVxs4ThymZ67YCE,pop
32,2RmGQmFyJetffds9FSRm3c,5t5FqBwTcgKTaWmfEbwQY9,anime
32,2RmGQmFyJetffds9FSRm3c,5t5FqBwTcgKTaWmfEbwQY9,k-pop boy group
33,6tAPw1Rtt3SGEOm6ohYi8l,1uAT5bTSp6dWbNmixIUP5t,k-pop
34,0aW2wxU16UTuwohjldJ5v0,2Y34b9AOK30zXgL7cAH4NG,
35,6e7SWgyx1EsEHmdDlsrbth,2dIgFjalVxs4ThymZ67YCE,k-pop
35,6e7SWgyx1EsEHmdDlsrbth,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
35,6e7SWgyx1EsEHmdDlsrbth,2dIgFjalVxs4ThymZ67YCE,pop
36,1J0qupz0gVGSB5jcRY35tL,2dIgFjalVxs4ThymZ67YCE,k-pop
36,1J0qupz0gVGSB5jcRY35tL,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
36,1J0qupz0gVGSB5jcRY35tL,2dIgFjalVxs4ThymZ67YCE,pop
37,6UkMcAA19lTdjs22jtB7o2,5hW4L92KnC6dX9t7tYM4Ve,canadian singer-songwriter
37,6UkMcAA19lTdjs22jtB7o2,5hW4L92KnC6dX9t7tYM4Ve,folk
37,6UkMcAA19lTdjs22jtB7o2,5hW4L92KnC6dX9t7tYM4Ve,folk rock
37,6UkMcAA19lTdjs22jtB7o2,5hW4L92KnC6dX9t7tYM4Ve,singer-songwriter
38,2wpiWR4tTz4ewnYV1v4KQC,2dIgFjalVxs4ThymZ67YCE,k-pop
38,2wpiWR4tTz4ewnYV1v4KQC,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
38,2wpiWR4tTz4ewnYV1v4KQC,2dIgFjalVxs4ThymZ67YCE,pop
39,3FeVmId7tL5YN8B7R3imoM,4gzpq5DPGxSnKTe4SA8HAU,permanent wave
39,3FeVmId7tL5YN8B7R3imoM,4gzpq5DPGxSnKTe4SA8HAU,pop
40,56ZpFy1kLsXwtbHWX1CgJ4,2dIgFjalVxs4ThymZ67YCE,k-pop
40,56ZpFy1kLsXwtbHWX1CgJ4,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
40,56ZpFy1kLsXwtbHWX1CgJ4,2dIgFjalVxs4ThymZ67YCE,pop
41,0bxB5Jie9fGKTIibfYVfei,2dIgFjalVxs4ThymZ67YCE,k-pop
41,0bxB5Jie9fGKTIibfYVfei,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
41,0bxB5Jie9fGKTIibfYVfei,2dIgFjalVxs4ThymZ67YCE,pop
42,1BIKSPrF0M1U6u83MTKmDu,2wUjUUtkb5lvLKcGKsKqsR,canadian contemporary r&b
42,1BIKSPrF0M1U6u83MTKmDu,2wUjUUtkb5lvLKcGKsKqsR,canadian pop
42,1BIKSPrF0M1U6u83MTKmDu,2wUjUUtkb5lvLKcGKsKqsR,pop
43,0OCDOcvQvozjsivREMojzx,2dIgFjalVxs4ThymZ67YCE,k-pop
43,0OCDOcvQvozjsivREMojzx,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
43,0OCDOcvQvozjsivREMojzx,2dIgFjalVxs4ThymZ67YCE,pop
44,4IQCY3PjJsrZVryFfYJVsB,2FLqlgckDKdmpBrvLAT5BM,k-pop
45,0KHCa8hM5Jff6Ji0JxQYMb,2dIgFjalVxs4ThymZ67YCE,k-pop
45,0KHCa8hM5Jff6Ji0JxQYMb,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
45,0KHCa8hM5Jff6Ji0JxQYMb,2dIgFjalVxs4ThymZ67YCE,pop
46,1X1DWw2pcNZ8zSub3uhlNz,3AQRLZ9PuTAozP28Skbq8V,celtic rock
46,1X1DWw2pcNZ8zSub3uhlNz,3AQRLZ9PuTAozP28Skbq8V,pop
47,69790X4RDQIKwcxltIMHvU,1eTft3tXynrKdo6XD7QHLL,k-pop
48,1ifB8sqR8gd09DSEloo4Du,2dIgFjalVxs4ThymZ67YCE,k-pop
48,1ifB8sqR8gd09DSEloo4Du,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
48,1ifB8sqR8gd09DSEloo4Du,2dIgFjalVxs4ThymZ67YCE,pop
49,5ZjV4yevHO1QhMw8AjyQbZ,5GGJosGMs08YEmKTZJe1fL,indie pop
50,6CdUgvL597jWmW4w8P5kHs,3qNVuliS40BLgXGxhdBdqu,k-pop
51,4WFTVcLuQuQlzzO8aS4iRM,5qUAtC3NwSLYme4JqjlGfQ,korean ost
52,3aAgLPtl0SMPmrY6go45pe,6nfDaffa50mKtEOwR8g4df,k-pop
52,3aAgLPtl0SMPmrY6go45pe,6nfDaffa50mKtEOwR8g4df,k-pop boy group
53,2j1Es5qEl4pD8GEe2WsYgP,7nqOGRxlXj7N2JYbgNEjYH,k-pop
53,2j1Es5qEl4pD8GEe2WsYgP,7nqOGRxlXj7N2JYbgNEjYH,k-pop boy group
54,6cLwgFQvn69ATT9GX7hCIs,5na1LmEmK2VzNLje9snJYW,k-pop
54,6cLwgFQvn69ATT9GX7hCIs,5na1LmEmK2VzNLje9snJYW,k-pop boy group
55,3VMeAc0SlgLaS9RzA8TSxH,2dIgFjalVxs4ThymZ67YCE,k-pop
55,3VMeAc0SlgLaS9RzA8TSxH,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
55,3VMeAc0SlgLaS9RzA8TSxH,2dIgFjalVxs4ThymZ67YCE,pop
56,1mBtrVS6hLeqcVecvpAqBJ,04uu8U3I1h26Fp2NBkPTRZ,singer-songwriter pop
57,0br4r9VlPdofrWXxPorlYd,5qRSs6mvI17zrkJpOHkCoM,k-pop
57,0br4r9VlPdofrWXxPorlYd,5qRSs6mvI17zrkJpOHkCoM,k-pop boy group
58,7cRYXWQjXyLg6C1Hu9uc1S,2dIgFjalVxs4ThymZ67YCE,k-pop
58,7cRYXWQjXyLg6C1Hu9uc1S,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
